InvoiceLineID,country,cancelled,name,orgID,currency,salesman,validInvoice,InvoiceID,LineNum,Edition,ValidFrom,ValidTo,Amount,Tax,IsTransferrable,Renewed,Computers,numberTransferable,numberStandard,ComputersToRenew
1,Australia,0,AMR Australia,5072088a-5e82-4024-b1d1-b159d7cae07c,AUD,,1,65295856-d741-48db-a151-cf651d26f48c,0,P,1242000000000,1257897600000,3747.5,374.75,0,1,5,0,5,
2,Australia,0,Analytical Thinking,53bcbcb5-bd71-45c7-a836-2035b4fc471a,AUD,,0,125cc85b-e992-42ee-be9d-e99fa937415f,0,P,1221696000000,1253232000000,0,0,0,1,1,0,0,
3,Australia,0,Andrew Kelly Strategic Planning and Research (AKSPAR),1bfbe724-8e6a-4808-8b49-26f8bdb4ced2,AUD,,0,e6783517-674a-4936-970e-770ac125e963,0,P,1235520000000,1267833600000,0,0,0,1,1,0,0,
4,Australia,0,Market Logic Asia Pty Ltd,3524db2f-a851-4933-aae5-40ba614275c4,AUD,4,1,3f69f8b2-11e5-42cc-bf87-aa85e425f1cd,0,P,1231113600000,1265241600000,1499,136.27000000000001,0,1,1,0,1,
5,Australia,0,Market Logic Asia Pty Ltd,3524db2f-a851-4933-aae5-40ba614275c4,AUD,4,1,3f69f8b2-11e5-42cc-bf87-aa85e425f1cd,1,P,1232496000000,1265500800000,1499,136.27000000000001,0,1,1,0,1,
6,Australia,0,Market Logic Asia Pty Ltd,3524db2f-a851-4933-aae5-40ba614275c4,AUD,4,1,3f69f8b2-11e5-42cc-bf87-aa85e425f1cd,2,B,1235001600000,1266537600000,849,77.180000000000007,0,1,1,0,1,
7,Australia,0,Market Logic Asia Pty Ltd,3524db2f-a851-4933-aae5-40ba614275c4,AUD,4,1,3f69f8b2-11e5-42cc-bf87-aa85e425f1cd,3,B,1235001600000,1266537600000,849,77.180000000000007,0,1,1,0,1,
8,Australia,0,BP Australia Pty Ltd,8c4417d3-e934-4170-a74c-19ad8e178f1c,AUD,,1,a94eedc2-478a-46dc-a75e-4c253de2fdaa,0,P,1246579200000,1280793600000,1499,136.27000000000001,0,1,1,0,1,
9,Australia,0,Catalyst Research,2cbf9877-21de-4cbf-86d4-009569367476,AUD,4,1,4088e809-1fff-49d5-a718-a354f9112aea,0,P,1236816000000,1268352000000,1499,136.27000000000001,0,1,1,0,1,
10,Australia,0,Catalyst Research,2cbf9877-21de-4cbf-86d4-009569367476,AUD,4,1,4088e809-1fff-49d5-a718-a354f9112aea,1,P,1236816000000,1268352000000,1499,136.27000000000001,0,1,1,0,1,
11,Australia,0,Chant Link & Associates,1be9c743-b0fb-4c73-bf68-059c794516e6,AUD,4,1,c72f3dd1-4895-4ec5-8ef0-8ea0bc888f25,0,P,1243900800000,1273276800000,7495,681.36000000000001,0,1,5,0,5,
12,Australia,0,Crosby|Textor,f9925f1f-5f55-4d9a-a5bf-df1f79789bf3,AUD,,1,c53d7edd-988d-48fc-ae89-9bbae2e47eb1,0,P,1240099200000,1271635200000,1499,136.27000000000001,0,1,1,0,1,
13,Australia,0,D&M Research Pty Limited,386e23d5-3815-442c-89d9-39df6fbe61e7,AUD,,1,42f53776-ea47-4df9-98e3-adb46967e275,0,P,1217980800000,1249516800000,1499,136.27000000000001,0,1,1,0,1,
14,Australia,0,Ergo Strategy Pty Ltd,535ff13b-cfbf-4556-afc4-2090902a1b06,AUD,4,1,076ee38e-8e8f-44ac-9704-3149eeb4043c,0,P,1246320000000,1277942400000,1499,136.27000000000001,0,1,1,0,1,
15,Australia,0,Freshworks,c8295be0-74ed-4fc5-9e65-bae35f11f273,AUD,,1,be843a2b-471b-44bb-bacc-7252ed14d546,0,P,1219190400000,1250726400000,1499,136.27000000000001,0,1,1,0,1,
16,Australia,0,Galileo Kaleidoscope Pty Ltd,5ebe9380-e3ec-42f6-8717-605728ad7a7e,AUD,4,1,4e2708db-0c1e-48c7-8f5c-d3c9db63fdf2,0,P,1242864000000,1274400000000,7495,681.36000000000001,0,1,5,0,5,
17,Australia,0,GfK Australia Pty Ltd,c5237417-33d4-4ef5-ac77-2064fb5dc6c8,AUD,,1,d2ec0143-743c-42a3-b502-8459de95abb5,0,P,1234742400000,1268697600000,1499,136.27000000000001,0,1,1,0,1,
18,Australia,0,Greenhill Research,6d792562-a08b-45b2-9a64-6f2c7c8e5172,AUD,,1,d022c696-00f2-4a20-9c12-6c26804eac5e,0,P,1243814400000,1275350400000,1499,136.27000000000001,0,1,1,0,1,
19,Australia,1,Inner Perspective,1a40d1bd-1b44-4fc8-9170-452f882e2101,AUD,,0,150eac21-241d-468b-a0a4-8acad5a7fd24,0,P,1229472000000,1263686400000,1499,136.27000000000001,0,0,1,0,0,
20,Australia,0,IPSOS - Australia,35138c88-9363-4341-8d32-d3b738dee6ff,AUD,,1,ddf1af1d-cb0c-4038-8cd1-ae018a027636,0,P,1246924800000,1278460800000,10493,953.90999999999997,0,1,7,0,7,
21,Australia,0,Jigsaw Strategic Research (Australia),7f5db4b9-dea6-442f-b876-781305ab9030,AUD,4,1,f152eda0-b17e-4882-9a11-2e1c5e1dcb57,0,P,1234742400000,1266796800000,7495,681.36000000000001,0,1,5,0,5,
22,Australia,0,BDRC Australia,98aef60e-be3e-4b56-a638-b5b0f28db7c2,AUD,4,1,997bede2-6875-43cb-8552-20f72ad6b62f,0,P,1224979200000,1263427200000,7495,681.36000000000001,0,1,5,0,5,
23,Australia,0,Lewers Research,d61f988b-4785-4bd2-9731-e92a50d96257,AUD,4,1,518cff67-280f-4c51-b50d-eb913c4a474d,0,P,1235520000000,1269475200000,7495,681.36000000000001,0,1,5,0,5,
24,Australia,0,Market Logic Asia Pty Ltd,3524db2f-a851-4933-aae5-40ba614275c4,AUD,4,1,354903f5-7b2e-468f-8775-4aa1fccbb207,0,P,1239148800000,1270684800000,1499,136.27000000000001,0,1,1,0,1,
25,Australia,0,McNair Ingenuity,59520db9-940f-409b-bed3-607a8b80c21d,AUD,,1,86757b33-249a-41e5-a8b1-96ac9ccef671,0,P,1246838400000,1278374400000,1499,136.27000000000001,0,1,1,0,1,
26,Australia,0,Nature Pty Ltd,32fd5994-b46f-4851-9c1d-256b673818f6,AUD,4,1,6e95d7ef-e6d9-4047-a5fe-b5d97d9d0083,0,P,1236556800000,1269216000000,1499,136.27000000000001,0,1,1,0,1,
27,Australia,0,Nature Pty Ltd,32fd5994-b46f-4851-9c1d-256b673818f6,AUD,4,1,6e95d7ef-e6d9-4047-a5fe-b5d97d9d0083,1,P,1236556800000,1269216000000,1499,136.27000000000001,0,1,1,0,1,
28,Australia,1,OmniPoll Pty Ltd,6295cd9a-b137-48b0-9e0a-9b4e30293032,AUD,4,0,c58e8517-7a39-4cbf-bdea-c037bf252612,0,P,1247702400000,1281052800000,13491,1226.4500000000001,0,1,9,0,0,
29,Australia,0,OmnicomMediaGroup,b8f57a47-cd48-4212-a72c-7a114535b4a6,AUD,,1,0a7118e8-006e-4ef8-876c-49a292023cf1,0,P,1224201600000,1255737600000,1499,136.27000000000001,0,1,1,0,1,
30,Australia,0,OmnicomMediaGroup,b8f57a47-cd48-4212-a72c-7a114535b4a6,AUD,,1,0a7118e8-006e-4ef8-876c-49a292023cf1,1,P,1224201600000,1255737600000,1499,136.27000000000001,0,1,1,0,1,
31,Australia,0,OmnicomMediaGroup,b8f57a47-cd48-4212-a72c-7a114535b4a6,AUD,,1,0a7118e8-006e-4ef8-876c-49a292023cf1,2,P,1224201600000,1255737600000,1499,136.27000000000001,0,1,1,0,1,
32,Australia,0,Pernod Ricard Australia (Pernod Ricard Winemakers Pty Ltd),c5564d1b-1c4b-4738-93fb-29841381750d,AUD,,0,bdda1a43-ee9a-4154-9707-711711cc59ad,0,B,1235520000000,1267056000000,0,0,0,1,5,0,0,
33,Australia,0,Pollinate,c55db45d-669f-465a-a0d1-fc4d9ff4a144,AUD,4,1,9f809c51-7526-4856-ac50-ec5d7e11d034,0,P,1228348800000,1259884800000,7495,681.36000000000001,0,1,5,0,5,
34,Australia,0,Research Now - Australia,9a25286e-a94a-4f9a-8fcf-4dd105d106db,AUD,,1,ac9d7648-a804-4849-8d6e-acda98b8461e,0,P,1220918400000,1255046400000,1499,136.27000000000001,0,1,1,0,1,
35,Australia,0,Ruby Cha Cha,c880038b-dcc4-4113-83bb-c9eafada3173,AUD,,1,ebc687fc-494f-4e74-84d4-e88dbf2e316c,0,P,1219017600000,1250553600000,1499,136.27000000000001,0,1,1,0,1,
36,Australia,0,Ruby Cha Cha,c880038b-dcc4-4113-83bb-c9eafada3173,AUD,,1,ebc687fc-494f-4e74-84d4-e88dbf2e316c,1,P,1229904000000,1262822400000,1499,136.27000000000001,0,1,1,0,1,
37,Australia,0,Ruby Cha Cha,c880038b-dcc4-4113-83bb-c9eafada3173,AUD,,1,ebc687fc-494f-4e74-84d4-e88dbf2e316c,2,P,1235520000000,1269475200000,1499,136.27000000000001,0,1,1,0,1,
38,Australia,0,Ruby Cha Cha,c880038b-dcc4-4113-83bb-c9eafada3173,AUD,,1,ebc687fc-494f-4e74-84d4-e88dbf2e316c,3,P,1241395200000,1272931200000,1499,136.27000000000001,0,1,1,0,1,
39,Australia,0,Sensory Solutions,04a3ea70-c28a-41d6-8326-10c8babde525,AUD,4,1,22fc194a-e31a-4424-a60c-b9ca4579c1dd,0,P,1237248000000,1271462400000,1499,136.27000000000001,0,1,1,0,1,
40,Australia,0,Stancombe Research & Planning Pty Ltd,45e40141-845b-495a-8aa6-0802ecfade93,AUD,,1,fe3c4ae4-e44c-4a10-b41b-2456e52505da,0,P,1217980800000,1249516800000,1499,136.27000000000001,0,1,1,0,1,
41,Australia,0,Stancombe Research & Planning Pty Ltd,45e40141-845b-495a-8aa6-0802ecfade93,AUD,,1,fe3c4ae4-e44c-4a10-b41b-2456e52505da,1,P,1217980800000,1249516800000,1499,136.27000000000001,0,1,1,0,1,
42,Australia,0,Stokes Mischewski Pty Ltd,d990118e-d832-44a8-a3a3-f39ef992f639,AUD,4,1,96eb4b1c-8a63-46e5-84f9-bd5cc06ec973,0,P,1220832000000,1252368000000,2998,299.80000000000001,0,1,2,0,2,
43,Australia,0,Stollznow Research,aa48a418-a9bd-4f03-980a-15a16fb59d25,AUD,,1,2281b8e2-0b5c-4341-832e-07fe05a56573,0,P,1219190400000,1253404800000,1499,136.27000000000001,0,1,1,0,1,
